skill_name,category,taxonomy,parent_id
Partnership Development,Business,Stakeholder & Customer,2
Talent Sourcing,Business,HR & People,2
Client Management,Business,Stakeholder & Customer,2
Hybrid Work Management,Business,HR & People,2
Contract Management,Business,Management,2
Agency Management,Domain,Management,2
Art Direction,Technical,Creative & Design,4
High Throughput Screening,Technical,Life Sciences,4
AgriTech,Domain,Life Sciences,4
Light Vehicle Maintenance,Technical,Automotive,4
Vehicle Repair,Technical,Automotive,4
Customer Service,Soft Skill,Stakeholder & Customer,2
Time Management,Soft Skill,Delivery Methods,3
Retail Operations,Domain,Engineering & Operations,1
Vehicle Maintenance,Domain,Automotive,4
Automotive Service,Domain,Automotive,4
MOT Testing,Technical,Automotive,4
Automotive Maintenance,Domain,Automotive,4
Bonus Scheme Management,Business,HR & People,2
Leadership,Soft Skill,Leadership Behaviour,5
Estate Agency Management,Domain,HR & People,2
Team Management,Soft Skill,Management,2
Career Development,Business,HR & People,2
Higher Education,Domain,Education,4
Customer Service Management,Business,Stakeholder & Customer,2
Retail Management,Domain,Management,2
Stakeholder Management,Business,Stakeholder & Customer,2
Customer Relationship Building,Business,Stakeholder & Customer,2
Mental Health Support,Domain,Healthcare,4
Substance Abuse Counselling,Domain,HR & People,2
Psychological Support,Domain,HR & People,2
Person-Centred Approach,Methodology,Communication,5
Trauma Support,Domain,Healthcare,4
Community-Based Support,Domain,Healthcare,4
Standard Operating Procedures,Methodology,Engineering & Operations,1
Continuous Improvement,Methodology,Process Improvement,3
Team Leadership,Business,Leadership Behaviour,5
Warehouse Operations,Domain,Engineering & Operations,1
Order Picking,Technical,Logistics,4
Packing,Technical,Logistics,4
Vehicle Loading,Technical,Automotive,4
Logistics,Domain,Logistics,4
DBS Check,Technical,HR & People,2
Packing and Assembly,Technical,Engineering & Operations,1
Logistics and Distribution,Domain,Logistics,4
Parcel Handling,Technical,Logistics,4
Logistics Management,Domain,Logistics,4
Logistics Coordination,Technical,Logistics,4
Transport Management,Technical,Logistics,4
Warehouse Management,Technical,Management,2
Inventory Control,Technical,Engineering & Operations,1
Health and Safety Management,Technical,Engineering & Operations,1
Logistics Operations,Domain,Automotive,4
Hotel Services,Domain,Stakeholder & Customer,2
Housekeeping,Domain,HR & People,2
Care Planning,Domain,Healthcare,4
Dementia Care,Domain,Healthcare,4
Nursing Care,Domain,Healthcare,4
Residential Care,Domain,Healthcare,4
PVG,Technical,HR & People,2
Personal Assistance,Domain,HR & People,2
Care Experience,Domain,Healthcare,4
Disability Support,Domain,Healthcare,4
Home Care,Domain,Healthcare,4
Training Participation,Soft Skill,Delivery Methods,3
SAP Payroll,Technical,Tools & Software,1
SAP HCM,Technical,Tools & Software,1
System Integration,Technical,IT & Systems,1
Payroll Processing,Domain,Engineering & Operations,1
HR Systems,Domain,HR & People,2
Cloud Computing,Technical,IT & Systems,1
Cyber Security,Technical,IT & Systems,1
Digital Transformation,Domain,Tools & Software,1
Audiovisual Systems,Domain,IT & Systems,1
